v1,v2
ham,"జురాంగ్ పాయింట్ వరకు వెళ్ళండి, క్రేజీ .. బుగిస్ ఎన్ గ్రేట్ వరల్డ్ లా ఇ బఫేలో మాత్రమే లభిస్తుంది ... సినీ అక్కడ అమోర్ వాట్ వచ్చింది ..."
ham,సరే లార్ ... జోకింగ్ వైఫ్ యు ఓని ...
spam,FA కప్ ఫైనల్ TKTS ను గెలుచుకోవటానికి 2 లో ఉచిత ఎంట్రీ 21 మే 2005. ఎంట్రీ ప్రశ్నను స్వీకరించడానికి టెక్స్ట్ FA నుండి 87121
spam,FA కప్ ఫైనల్ TKTS ను గెలుచుకోవటానికి 2 లో ఉచిత ఎంట్రీ 21 మే 2005. ఎంట్రీ ప్రశ్నను స్వీకరించడానికి టెక్స్ట్ FA నుండి 87121
ham,"అతను యుఎస్ఎఫ్ కి వెళ్తాడని నేను అనుకోను, అతను ఇక్కడ నివసిస్తున్నాడు"
spam,"Freemsg హే అక్కడ డార్లింగ్ ఇది ఇప్పుడు 3 వారాలు మరియు పదం తిరిగి లేదు!నేను ఇంకా సరదాగా కోరుకుంటున్నాను?టిబి సరే!XXX STD CHGS పంపడానికి, Å £ 1.50 నుండి RCV వరకు"
spam,"Freemsg హే అక్కడ డార్లింగ్ ఇది ఇప్పుడు 3 వారాలు మరియు పదం తిరిగి లేదు!నేను ఇంకా సరదాగా కోరుకుంటున్నాను?టిబి సరే!XXX STD CHGS పంపడానికి, Å £ 1.50 నుండి RCV వరకు"
ham,మీ అభ్యర్థన ప్రకారం 'మెల్లె మెల్లె (ఓరు మినామినమింగ్టే నూరుంగు వెట్టం)' అన్ని కాలర్లకు మీ కాల్టూన్‌గా సెట్ చేయబడింది.మీ స్నేహితుల కాలర్‌ట్యూన్‌ను కాపీ చేయడానికి *9 నొక్కండి
spam,విజేత !!విలువైన నెట్‌వర్క్ కస్టమర్‌గా మీరు స్వీకరించడానికి ఎంపిక చేయబడ్డారు r 900 బహుమతి బహుమతి!క్లెయిమ్ చేయడానికి కాల్ 09061701461. క్లెయిమ్ కోడ్ KL341.చెల్లుబాటు అయ్యే 12 గంటలు మాత్రమే.
spam,విజేత !!విలువైన నెట్‌వర్క్ కస్టమర్‌గా మీరు స్వీకరించడానికి ఎంపిక చేయబడ్డారు r 900 బహుమతి బహుమతి!క్లెయిమ్ చేయడానికి కాల్ 09061701461. క్లెయిమ్ కోడ్ KL341.చెల్లుబాటు అయ్యే 12 గంటలు మాత్రమే.
spam,మీ మొబైల్ 11 నెలలు లేదా అంతకంటే ఎక్కువ ఉందా?కెమెరాతో తాజా కలర్ మొబైల్‌లకు ఉచితంగా అప్‌డేట్ చేయడానికి u r అర్హత ఉంది!08002986030 లో మొబైల్ నవీకరణ CO కి ఉచితంగా కాల్ చేయండి
spam,మీ మొబైల్ 11 నెలలు లేదా అంతకంటే ఎక్కువ ఉందా?కెమెరాతో తాజా కలర్ మొబైల్‌లకు ఉచితంగా అప్‌డేట్ చేయడానికి u r అర్హత ఉంది!08002986030 లో మొబైల్ నవీకరణ CO కి ఉచితంగా కాల్ చేయండి
spam,"నగదు గెలవడానికి ఆరు అవకాశాలు!100 నుండి 20,000 పౌండ్ల వరకు txt> csh11 మరియు 87575 కు పంపండి. ఖర్చు 150p/day, 6days, 16+ tsandcs వర్తించు ప్రత్యుత్తరం HL 4 సమాచారం"
spam,"నగదు గెలవడానికి ఆరు అవకాశాలు!100 నుండి 20,000 పౌండ్ల వరకు txt> csh11 మరియు 87575 కు పంపండి. ఖర్చు 150p/day, 6days, 16+ tsandcs వర్తించు ప్రత్యుత్తరం HL 4 సమాచారం"
spam,"అత్యవసరం!మీరు మా £ 100,000 బహుమతి జాక్‌పాట్‌లో 1 వారం ఉచిత సభ్యత్వాన్ని గెలుచుకున్నారు!TXT పదం: NO: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
spam,"అత్యవసరం!మీరు మా £ 100,000 బహుమతి జాక్‌పాట్‌లో 1 వారం ఉచిత సభ్యత్వాన్ని గెలుచుకున్నారు!TXT పదం: NO: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
ham,విల్ తో నాకు ఆదివారం తేదీ ఉంది !!
spam,"XXXMOBILEMOVIECLUB: మీ క్రెడిట్‌ను ఉపయోగించడానికి, తదుపరి TXT సందేశంలో WAP లింక్‌ను క్లిక్ చేయండి లేదా ఇక్కడ క్లిక్ చేయండి >> http: // WAP.xxxmobilemovieclub.com?n=qjkgighjjgcbl"
spam,"XXXMOBILEMOVIECLUB: మీ క్రెడిట్‌ను ఉపయోగించడానికి, తదుపరి TXT సందేశంలో WAP లింక్‌ను క్లిక్ చేయండి లేదా ఇక్కడ క్లిక్ చేయండి >> http: // WAP.xxxmobilemovieclub.com?n=qjkgighjjgcbl"
ham,ఇహ్ యు 2 అతని పేరును ఎలా స్పెల్లింగ్ చేస్తుంది ... అవును నేను చేసాను.నేను తడి చేసే వరకు అతను కొంటెగా చేస్తాడు.
ham,మీరు అనుభూతి చెందుతున్న మార్గం ఉంటే మంచిది.దాని గోటా బి
spam,"ఇంగ్లాండ్ వి మాసిడోనియా - గోల్స్/టీమ్ న్యూస్‌ను కోల్పోకండి.TXT ఉర్ జాతీయ జట్టు 87077 ఉదా. ఇంగ్లాండ్ నుండి 87077 ప్రయత్నించండి: వేల్స్, స్కాట్లాండ్ 4txt/ì¼1.20 POBOXOX36504W45WQ 16+"
spam,"ఇంగ్లాండ్ వి మాసిడోనియా - గోల్స్/టీమ్ న్యూస్‌ను కోల్పోకండి.TXT ఉర్ జాతీయ జట్టు 87077 ఉదా. ఇంగ్లాండ్ నుండి 87077 ప్రయత్నించండి: వేల్స్, స్కాట్లాండ్ 4txt/ì¼1.20 POBOXOX36504W45WQ 16+"
ham,నేను 2 నెలలు ప్రయత్నిస్తాను
ham,కాబట్టి ì_ చివరిగా చెల్లించండి ... అప్పుడు స్టాక్ కామిన్ ఎప్పుడు ...
ham,"నేను నా భోజనం ముగించాను, అప్పుడు నేను లార్ డౌన్ చేస్తాను.ARD 3 SMTH LOR.U ఇప్పటికే ఉర్ లంచ్ పూర్తి చేయాలా?"
ham,Ffffffffff.నేను మీతో త్వరగా కలవలేను?
ham,ఒక స్లైస్ తినమని బలవంతం చేసింది.నేను నిజంగా ఆకలితో లేను.ఇది సక్స్.మార్క్ ఆందోళన చెందుతున్నాడు.నేను పిజ్జాను తిరస్కరించినప్పుడు నేను అనారోగ్యంతో ఉన్నానని అతనికి తెలుసు.Lol
ham,LOL మీ ఎల్లప్పుడూ నమ్మదగినది.
ham,మీరు బస్సును పట్టుకున్నారా?మీరు గుడ్డు వేయించారా?మీరు టీ చేశారా?మీరు విందులో మీ అమ్మ మిగిలిపోతున్నారా?మీరు నా ప్రేమను అనుభవిస్తున్నారా?
ham,"నేను తిరిగి వచ్చాను & amp;మేము ఇప్పుడు కారును ప్యాక్ చేస్తున్నాము, గది ఉంటే నేను మీకు తెలియజేస్తాను"
ham,ఆహ్.పని.నేను అస్పష్టంగా గుర్తుంచుకున్నాను!ఇది ఎలా అనిపిస్తుంది?Lol
ham,"వేచి ఉండండి, అది ఇప్పటికీ అంత స్పష్టంగా లేదు, నేను వ్యంగ్యంగా ఉండటం గురించి మీకు ఖచ్చితంగా తెలియదా లేదా అందుకే X మాతో జీవించటానికి ఇష్టపడడు"
ham,అవును అతను 2 వద్దకు వచ్చాడు మరియు V క్షమాపణ చెప్పాడు.N పడిపోయింది మరియు ఆమె చెడిపోయిన బిడ్డలా ఆక్టిన్ మరియు అతను అందులో చిక్కుకున్నాడు.2 వరకు!కానీ మేము అక్కడికి వెళ్ళము!చాలా చెడుగా చీర్స్ చేయడం లేదు.మీరు?
ham,K మీ గురించి ఏదైనా చెప్పండి.
ham,మీరు ఇప్పుడే చేసిన అన్ని ఇంటి పనులతో మూర్ఛపోతారనే భయంతో?త్వరగా ఒక కప్పా కలిగి
spam,"రింగ్‌టోన్ UK కి మీ చందా చేసినందుకు ధన్యవాదాలు మీ మొబైల్ ward £ 5/నెల వసూలు చేయబడుతుంది, దయచేసి అవును లేదా కాదు అని ప్రత్యుత్తరం ఇవ్వడం ద్వారా నిర్ధారించండి.మీరు ప్రత్యుత్తరం ఇవ్వకపోతే మీకు వసూలు చేయబడదు"
spam,"రింగ్‌టోన్ UK కి మీ చందా చేసినందుకు ధన్యవాదాలు మీ మొబైల్ ward £ 5/నెల వసూలు చేయబడుతుంది, దయచేసి అవును లేదా కాదు అని ప్రత్యుత్తరం ఇవ్వడం ద్వారా నిర్ధారించండి.మీరు ప్రత్యుత్తరం ఇవ్వకపోతే మీకు వసూలు చేయబడదు"
ham,"అయ్యో, నా రూమ్మేట్ పూర్తయినప్పుడు నేను మీకు తెలియజేస్తాను"
ham,నేను నా కారుపై బి అక్షరాన్ని చూస్తాను
ham,ఏదైనా lor ... మీరు నిర్ణయించండి ...
