v1,v2
ham,"Jurong Point, Crazy .. तक जाओ .. केवल बगिस n महान दुनिया में उपलब्ध है ला ई बुफे ... सिने वहाँ अमोरे वाट हो गया ..."
ham,ठीक है लार ... मजाक wif u oni ...
spam,नि: शुल्क प्रविष्टि 2 में एक wkly COMP को जीतने के लिए FA CUP FILL TKTS 21 मई 2005 को जीतने के लिए। प्रवेश प्रश्न (STD पाठ दर) प्राप्त करने के लिए पाठ FA 87121 T & CS लागू करें 08452810075Over18
ham,"नाह मुझे नहीं लगता कि वह यूएसएफ में जाता है, वह हालांकि इधर -उधर रहता है"
spam,"Freemsg अरे वहाँ डार्लिंग यह 3 सप्ताह का अब हो गया है और कोई शब्द वापस नहीं है! मैं आपको इसके लिए अभी भी कुछ मज़ा करना चाहता हूं? टीबी ठीक है! XXX STD CHGS भेजने के लिए, on £ 1.50 को RCV को"
ham,आपके अनुरोध के अनुसार 'मेलले मेल्ले (ओरु मिननामिनुंगिन्टे नूरुंगु वेट्टम)' को सभी कॉलर्स के लिए आपके कॉलर्ट्यून के रूप में सेट किया गया है। अपने दोस्तों Callertune को कॉपी करने के लिए *9 दबाएँ
spam,विजेता !! एक मूल्यवान नेटवर्क ग्राहक के रूप में आपको £ 900 पुरस्कार इनाम प्राप्त करने के लिए चुना गया है! कॉल करने के लिए 09061701461 पर कॉल करें। दावा कोड KL341। केवल 12 घंटे मान्य।
spam,क्या आपका मोबाइल 11 महीने या उससे अधिक था? यू आर मुफ्त में कैमरे के साथ नवीनतम रंग मोबाइलों को अपडेट करने का हकदार है! 08002986030 पर मोबाइल अपडेट सह मुफ्त कॉल करें
spam,"नकद जीतने के छह मौके! 100 से 20,000 पाउंड txt> csh11 और 87575 पर भेजें। लागत 150p/दिन, 6 दिन, 16+ tsandcs लागू करें उत्तर HL 4 जानकारी"
spam,"अति आवश्यक! आपने हमारे एक £ 100,000 पुरस्कार जैकपॉट में 1 सप्ताह की मुफ्त सदस्यता जीती है! Txt शब्द: दावा नहीं: 81010 T & C www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
ham,मैं रविवार को विल के साथ एक तारीख है !!
spam,"XXXMOBILEMOVIECLUB: अपने क्रेडिट का उपयोग करने के लिए, अगले TXT संदेश में WAP लिंक पर क्लिक करें या यहां क्लिक करें >> http: // wap। XXXMOBILEMOVIECLUB.COM?N=QJKGIGHJJGCBL"
ham,एह यू याद है कि कैसे 2 उसका नाम जादू करते हैं ... हाँ मैंने किया। वह वी शरारती तब तक बनाता है जब तक मैं वी गीला नहीं करता।
ham,ठीक है अगर यह आप महसूस करते हैं। इस तरह से इसके गोटा बी
spam,"इंग्लैंड बनाम मैसेडोनिया - लक्ष्यों/टीम की खबर को याद न करें। TXT उर नेशनल टीम 87077 ईजी इंग्लैंड से 87077 ट्राई: वेल्स, स्कॉटलैंड 4TXT/Ã Ã ¢1.20 POBOXOX36504W45WQ 16+"
ham,Iâ € €m 2 महीने के लिए कोशिश करने जा रहे हैं हा हा केवल मजाक
ham,तो Ã_ पहले अंतिम भुगतान करें ... फिर स्टॉक कॉमिन कब है ...
ham,पिछाड़ी मैं अपना दोपहर का भोजन समाप्त करता हूं तो मैं नीचे लोर जाता हूं। Ard 3 smth lor। यू उर दोपहर का भोजन पहले से ही खत्म?
ham,Ffffffffff। ठीक है कोई रास्ता नहीं मैं तुम्हारे साथ जल्द मिल सकता हूँ?
ham,बस खुद को एक टुकड़ा खाने के लिए मजबूर किया। मैं वास्तव में भूखा नहीं हूँ। यह बेकार है। मार्क चिंतित हो रहा है। वह जानता है कि जब मैं पिज्जा को बंद कर देता हूं तो मैं बीमार हूं। ज़ोर-ज़ोर से हंसना
ham,अपने हमेशा इतना आश्वस्त करने वाला।
ham,क्या आपने बस पकड़ ली? क्या आप एक अंडा फ्राई कर रहे हैं? क्या आपने चाय बनाई? क्या आप अपनी माँ को रात के खाने के बचे हुए खा रहे हैं? क्या आपको मेरा प्यार महसूस होता है?
ham,"मैं वापस आ गया हूं और हम अब कार पैक कर रहे हैं, मैं आपको बता दूंगा कि क्या जगह है"
ham,आह। काम। मुझे अस्पष्ट रूप से याद है! यह किसके जैसा महसूस होता है? ज़ोर-ज़ोर से हंसना
ham,"प्रतीक्षा करें कि अभी भी यह सब स्पष्ट नहीं है, क्या आप मेरे बारे में निश्चित नहीं हैं कि व्यंग्यात्मक हैं या यही कारण है कि एक्स हमारे साथ नहीं रहना चाहते हैं"
ham,"हाँ, वह 2 में मिला और वी माफी माँगता था। n बाहर गिर गया था और वह खराब बच्चे की तरह एक्टिन था और वह उसमें फंस गया। 2 तक! लेकिन हम वहां नहीं जाएंगे! बहुत बुरी तरह से चीयर्स नहीं कर रहे हैं। आप?"
ham,K मुझे तुम्हारे बारे में कुछ भी बताओ।
ham,उस सभी गृहकार्य के साथ बेहोशी के डर से आपने अभी किया? त्वरित एक क्यूपा है
spam,"रिंगटोन यूके के लिए आपकी सदस्यता के लिए धन्यवाद, आपका मोबाइल Â £ 5/माह का शुल्क लिया जाएगा, कृपया हां या ना में जवाब देकर पुष्टि करें। यदि आप उत्तर नहीं देते हैं तो आपसे शुल्क नहीं लिया जाएगा"
ham,"उफ़, मैं आपको बता दूंगा कि मेरे रूममेट जब किया है"
ham,मैं अपनी कार पर लेटर बी देखता हूं
ham,कुछ भी लोर ... यू तय ...
ham,नमस्ते! आप कैसे हैं और शनिवार कैसे चले गए? मैं सिर्फ यह देखने के लिए टेक्स्टिंग कर रहा था कि क्या आपने कुछ भी करने का फैसला किया है। ऐसा नहीं है कि मैं खुद को या कुछ भी आमंत्रित करने की कोशिश कर रहा हूँ!
ham,Pls वाट्स के साथ आगे बढ़ें। मैं सिर्फ सुनिश्चित होना चाहता था। एक शानदार सप्ताहांत है। अबिओला
ham,"क्या मैं आपको बताना भूल गया? मैं तुम्हें चाहता हूं, मुझे तुम्हारी ज़रूरत है, मैं तुम्हें तरसता हूं ... लेकिन सबसे अधिक ... मैं तुमसे प्यार करता हूँ मेरी प्यारी अरब की सीढ़ी ... mmmmmm ... यम्मी"
spam,07732584351 - रॉजर बर्न्स - MSG = हमने आपको एक मुफ्त नोकिया मोबाइल + फ्री कैमकॉर्डर के लिए अपने एसएमएस के लिए अपने उत्तर को फिर से कॉल करने की कोशिश की। कृपया कल डिलीवरी के लिए 08000930705 पर कॉल करें
ham,महान! मुझे आशा है कि आप अपने आदमी को अच्छी तरह से पसंद करेंगे। मैं <#> इंच हूं ...
ham,कोई कॉल नहीं..मसेज..मिस्ड कॉल
ham,क्या आपको नाइजीरिया में हेप बी टीकाकरण नहीं मिला।
ham,"काफी उचित, कुछ भी चल रहा है?"
ham,"हाँ उम्मीद है, अगर टायलर ऐसा नहीं कर सकता है तो मैं शायद थोड़ा सा पूछ सकता हूं"
ham,आप नहीं जानते कि मैं कितना जिद्दी हूं। मैं अस्पताल भी नहीं जाना चाहता था। मैं मार्क को बताता रहा कि मैं एक कमजोर चूसने वाला नहीं हूं। अस्पताल कमजोर चूसने वालों के लिए हैं।
ham,आप मेरे बारे में क्या सोचते हैं। पहली बार आपने मुझे कक्षा में देखा।
ham,"एक ग्राम आमतौर पर <#> की तरह चलता है, एक आधा आठवां स्मार्ट है, हालांकि आपको <#> के लिए लगभग पूरे दूसरे ग्राम में मिलता है"
ham,"K Fyi X की कल सुबह एक सवारी है, लेकिन वह आज रात हमारी जगह पर दुर्घटनाग्रस्त हो रहा है"
ham,"बहुत खूब। मुझे कभी एहसास नहीं हुआ कि आप अपने आवासों से बहुत शर्मिंदा थे। मुझे लगा कि आपको यह पसंद आया है, क्योंकि मैं सबसे अच्छा कर रहा था और आप हमेशा \ _ गुफा के बारे में बहुत खुश लग रहे थे। मुझे खेद है कि आपका कमरा बहुत शर्मनाक था। """
spam,एसएमएस। एसी एसपीटीवी: न्यू जर्सी डेविल्स और डेट्रायट रेड विंग्स आइस हॉकी खेलते हैं। सही या गलत? अंत? उत्तर दें SPTV
spam,"बधाई! 2 के लिए 1 साल का विशेष सिनेमा पास आपका है। अब 09061209465 पर कॉल करें! सी सुपरमैन वी, मैट्रिक्स 3, स्टार वार्स 3, आदि सभी 4 मुक्त! BX420-IP4-5WE। 150pm। याद नहीं है!"
ham,बताओ कि आप कहां पहुंचे
ham,हाँ..गौटी और सहवाग ओडीई श्रृंखला से बाहर।
ham,आपके घर के रास्ते में अपने लिए $ 1 बर्गर लेने के लिए। मैं भी नहीं जा सकता। दर्द मुझे मार रहा है।
ham,हा हा हा गुड जोक। लड़कियां स्थिति चाहने वाले हैं।
ham,यह IQ की जाँच करने का एक हिस्सा है
ham,"क्षमा करें, मेरे रूममेट्स ने हमेशा के लिए लिया, अगर मैं अब तक आता हूं तो ठीक है?"
ham,"ठीक है लार मैं डबल चेक वाईफ दा हेयर ड्रेसर पहले से ही कहा कि उसने कहा कि वून कट वी शॉर्ट। उन्होंने कहा कि जब तक मैं अच्छा नहीं लगूंगा, तब तक कट जाएगा।"
spam,"एक मूल्यवान ग्राहक के रूप में, मुझे आपको यह सलाह देते हुए खुशी हो रही है कि आपकी भीड़ की हालिया समीक्षा के बाद आपको एक £ 1500 बोनस पुरस्कार से सम्मानित किया जाता है, 09066364589 पर कॉल करें"
spam,"तत्काल उर ने यूरोडिसिन ट्रैव, एसीओ और एंट्री 41 या एक £ 1000 के लिए एक मानार्थ यात्रा से सम्मानित किया। TXT DIS का दावा करने के लिए 87121 18+6*Â £ 1.50 (MoreFrmmob। ShracomorsGlsuplt) 10, LS1 3AJ"
spam,"क्या आपने नए \ तलाक बार्बी \ ""के बारे में सुना है? यह केन के सभी सामानों के साथ आता है!"""
ham,वाह भाग्यशाली आदमी ... तो पैसे बचा सकते हैं ... हे ...
ham,तैयार वर्ग आप कहाँ हैं।
ham,हाय बेब im घर पर अब कुछ करना चाहते हैं? XX
ham,K..K :) आप कहाँ हैं? आपने कैसे प्रदर्शन किया?
ham,आप मुझे अब फोन कर सकते हैं ...
ham,मैं मचन का इंतजार कर रहा हूं। एक बार मुझे मुक्त करने के बाद मुझे बुलाओ।
ham,यह अच्छा है। मैं एक सज्जन हूं और आपके साथ सम्मान और सम्मान के साथ व्यवहार करूंगा।
ham,मैं आप लोगों को बहुत पसंद करता हूं :) लेकिन मैं बहुत शर्मीला हूं।
ham,<#> के बाद संचालित नहीं होता है या क्या
ham,यह यहाँ एक ही नहीं है। अभी भी नौकरी की तलाश में है। टा कितना कमाता है।
ham,"क्षमा करें, मैं बाद में फोन करूंगा"
ham,के। क्या तुमने मुझे अभी कहा था?
ham,"ठीक है, मैं घर के रास्ते पर हूँ हाय हाय"
ham,आप उस आदमी के स्थान पर रहेंगे
ham,हाँ अगला पड़ाव।
ham,"मैं आपको बाद में कॉल करता हूं, नेटवर्क नहीं है। अगर urgnt, मुझे sms।"
ham,असली के लिए जब आप यो पर हो रहे हैं? मुझे केवल 2 और टिकट और एक और जैकेट चाहिए और मैं कर रहा हूं। मैंने पहले से ही अपने सभी मल्टीस का इस्तेमाल किया।
ham,"हां, मैंने इसे बनाने के लिए अनुरोध भेजना शुरू कर दिया लेकिन दर्द वापस आ गया इसलिए मैं बिस्तर पर वापस आ गया हूं। कारखाने में भी डबल सिक्के। मैं अपने सभी नाइट्रोस में नकद होगा।"
ham,मैं वास्तव में यह अभी भी आज रात बेब तक नहीं हूँ
ham,"Ela Kano।, il डाउनलोड, आओ जब उर मुक्त .."
ham,हाँ करो! Donâ € € tst tho को बंद करने के लिए स्टैंड- youâ € € कुछ पकड़ो!
ham,दर्दनाक होने के लिए क्षमा करें। क्या यह ठीक है अगर हम एक और रात मिलते हैं? मैंने देर से दोपहर को कैजुअल्टी में बिताया और इसका मतलब है कि मैंने कोई भी y stuff42moro नहीं किया है और इसमें मेरी सारी टाइम शीट और वह शामिल हैं। क्षमा मांगना।
ham,दर्द में मुस्कुराते हुए मुस्कुराते हुए मुस्कुराते हुए मुस्कुराते हुए मुस्कुराते हुए जब परेशानी बारिश की मुस्कान की तरह होती है जब sum1 दर्द होता है तो यू स्माइल
spam,कृपया 10 am-9pm के बीच 0800 169 6031 पर हमारे ग्राहक सेवा प्रतिनिधि को कॉल करें क्योंकि आपने एक £ 1000 नकद या of £ 5000 पुरस्कार जीता है!
spam,"आपका मुफ्त रिंगटोन एकत्र होने की प्रतीक्षा कर रहा है। बस पासवर्ड को सत्यापित करने के लिए पासवर्ड \ MIX \ ""पर 85069 पाठ करें। USHER और ब्रिटनी प्राप्त करें। FML"
ham,अच्छा ऐसा है। जब हम खत्म करते हैं तो हमारे पास भुगतान करने के लिए ऋण का भार होता है
ham,"नमस्ते। Wk ठीक है - अब होल्स पर! हाँ एक रन के लिए। भूल गया कि मेरे पास हेयरड्रेसर की नियुक्ति चार है इसलिए पहले से होम एन शॉवर प्राप्त करने की जरूरत है। क्या यह यू के लिए संभावना है? \ ""
जांघ"""
ham,कृपया मुझे अब पाठ न करें। मेरे पास कहने के लिए कुछ नहीं है।
ham,ठीक है नाम उर मूल्य जब तक इसके कानूनी! क्या मैं उन्हें उठा सकता हूं? Y u ave x ams xx
ham,मैं अभी भी खरीदने के लिए एक कार की तलाश कर रहा हूं। और अभी तक 4 ड्राइविंग टेस्ट नहीं गया है।
ham,आपके अनुरोध के अनुसार 'मेलले मेल्ले (ओरु मिननामिनुंगिन्टे नूरुंगु वेट्टम)' को सभी कॉलर्स के लिए आपके कॉलर्ट्यून के रूप में सेट किया गया है। अपने दोस्तों Callertune को कॉपी करने के लिए *9 दबाएँ
ham,"बहुत खूब। आप ठीक कह रहे हैं! मुझे ऐसा करने का मतलब नहीं था। मुझे लगता है कि एक बार जब मैंने बोस्टन पुरुषों को छोड़ दिया और अपना खोज स्थान बदल दिया, तो कुछ बदल गया। मेरे हस्ताक्षर पृष्ठ पर cuz यह अभी भी बोस्टन कहता है।"
ham,उमा मेरे जीवन और ववा उममा तुमसे बहुत प्यार करते हैं
ham,मेरे जन्मदिन पर आपकी इच्छाओं के लिए बहुत बहुत धन्यवाद। मेरा जन्मदिन वास्तव में यादगार बनाने के लिए धन्यवाद।
ham,"ऐइट, जब मुझे कुछ नकदी मिलती है तो मैं तुम्हें मारूंगा"
ham,मेरा आईपी एड्रेस टेस्ट कैसे होगा कि मेरे कंप्यूटर पर विचार करना एक Minecraft सर्वर नहीं है
ham,मुझे पता है! क्रोधी बूढ़े लोग। मेरी माँ ऐसी थी जैसे तुम बेहतर झूठ मत बोलो। फिर मैं हमेशा चुटकुले खेलने वाला हूं ...
ham,चिंता मत करो। मुझे लगता है कि वह व्यस्त है।
ham,संज्ञा अनुसंधान का बहुवचन क्या है?
ham,रात के खाने के लिए जा रहा है। आप के बाद।
ham,"मैं ठीक हूँ, यह मुझे पसंद है 2 नई चीजों की कोशिश करते हैं। लेकिन मैं माह की तरह यू डन से डर गया। कॉस यू ने बहुत जोर से नहीं कहा।"
spam,जेंट! हम आपसे संपर्क करने की कोशिश कर रहे हैं। पिछले सप्ताहांत ड्रॉ से पता चलता है कि आपने एक £ 1000 पुरस्कार की गारंटी जीती है। 09064012160 पर कॉल करें। दावा कोड K52। केवल 12hrs मान्य। 150ppm
ham,"जैसे ही मैंने अपने केबिन में प्रवेश किया, मेरे पीए ने कहा, '' हैप्पी बीडे बॉस !! ''। मुझे विशेष लगा। उसने मुझसे 4 लंच पूछा। दोपहर के भोजन के बाद उसने मुझे अपने अपार्टमेंट में आमंत्रित किया। हम वहाँ गए।"
spam,आप एक विजेता हैं यू विशेष रूप से चुने गए हैं 2 £ 1000 प्राप्त करें या 4* हॉलिडे (फ्लाइट्स इंक) एक लाइव ऑपरेटर से बात करें 2 क्लेम 0871277810910p/मिनट (18+)
ham,हम्म ... मेरे चाचा ने मुझे सूचित किया कि वह सीधे स्कूल का भुगतान कर रहा है। तो pls भोजन खरीदते हैं।
spam,निजी! 07742676969 के लिए आपका 2004 का खाता विवरण 786 अप्रकाशित बोनस अंक दिखाता है। क्लेम करने के लिए 08719180248 पहचानकर्ता कोड: 45239 समाप्त हो रहा है
spam,"अति आवश्यक! आपके मोबाइल नंबर को 5/9/03 पर on £ 2000 बोनस कॉलर पुरस्कार से सम्मानित किया गया था। यह यू से संपर्क करने की हमारी अंतिम कोशिश है! लैंडलाइन से कॉल करें 09064019788 BOX42WR29C, 150ppm"
spam,7548 को समाप्त होने वाले वोडा नंबर को $ 350 का पुरस्कार प्राप्त करने के लिए चुना जाता है। यदि आपके पास मैच है तो कृपया 08712300220 पर कॉल करें
ham,एक भविष्यवाणी वाट समय Ã_ मैं खरीदने के लिए समाप्त होगा?
ham,"अच्छा सामान, करेंगे।"
ham,"बस इतना है कि आप जानते हैं, अभी तक अभी तक पैसे नहीं भेजे हैं। मैंने बस उसे भेजने की जहमत नहीं उठाने के लिए एक पाठ भेजा। तो इसके ऊपर, आपको अपने आप को किसी भी चीज़ में शामिल नहीं करना है। मुझे पहले स्थान पर आप पर कुछ भी नहीं करना चाहिए था, इसलिए मैं माफी मांगता हूं।"
ham,क्या आप वहां कमरे में हैं।
ham,हेय मित्र। आप कैसे हैं? आशा है कि यू आर मुझे एक डेल आर बेक! फिर से लंबे समय तक नहीं सी! मुझे Lucyxx से कॉल सम टाइम दें
ham,K..K :) इसकी लागत कितनी है?
ham,मेँ घर पर हूँ।
ham,"प्रिय, कल कॉल करेंगे।"
ham,पहले मेरे सवाल का जवाब दें।
spam,सनशाइन क्विज़ wkly q! एक शीर्ष सोनी डीवीडी प्लेयर जीतें यदि आप जानते हैं कि एल्गरवे किस देश में है? TXT ANSR से 82277। Â £ 1.50 SP: Tyrone
spam,आज रात 2 बिछाने के लिए चाहते हैं? असली डॉगिंग स्थानों को प्रत्यक्ष 2 उर भीड़ भेजना चाहते हैं? 69888 के लिए यूके के सबसे बड़े डॉगिंग नेटवर्क बीटी TXTING बजरी में शामिल हों! Nt। ec2a। 31p.msg@150p
ham,वह वहां है। आप फोन करते हैं और उससे मिलते हैं
ham,नहीं - नहीं। मैं गतिविधियों से पहले सभी कमरों की जांच करूंगा
spam,आप चैट एसवीसी से कोई और अधिक एमएसजी आरसीवी नहीं करेंगे। मुफ्त कट्टर सेवाओं के लिए पाठ पर जाएं: 69988 यदि आपको कुछ भी नहीं मिलता है तो आपको yr नेटवर्क के साथ सत्यापित करना चाहिए और फिर से प्रयास करें
ham,"के, मुझे पाठ जब आप रास्ते में हों"
ham,"महोदय, आपके मेल की प्रतीक्षा कर रहे हैं।"
ham,"एक मीठा विचार: \ _ कभी भी छोटी चीजें करने से थक नहीं जाते हैं 4 प्यारा व्यक्तियों .. \ ""cuz..sometimes उन छोटी चीजें उनके दिलों में सबसे बड़ा हिस्सा है .. Gud Ni8"""
ham,मैं आपको जानता हुँ। क्या आप कृपया वापस खोल सकते हैं?
ham,"हाँ, आपको डॉट पर नहीं देखें"
ham,स्टाफ का नाम क्या है जो हमारे लिए क्लास ले रहा है?
spam,"FREEMSG आपने मेरे पाठ का जवाब क्यों नहीं दिया? मैं रैंडी, सेक्सी, महिला हूं और स्थानीय रहती हूं। यू से सुनने के लिए लव। NetCollex Ltd 08700621170150p प्रति MSG उत्तर दें"
ham,K..I ने अपना संपर्क हटा दिया कि क्यों?
ham,सिंधु को बिरलसॉफ्ट में नौकरी मिली।
ham,शराब बह रही है और मैं कभी नहीं है ..
ham,YUP I Thk Cine बेहतर है cos कोई जरूरत नहीं 2 2 plaza mah नीचे जाओ।
ham,ठीक है ... उर विशिष्ट उत्तर ...
ham,आपके अनुरोध के अनुसार 'मेलले मेल्ले (ओरु मिननामिनुंगिन्टे नूरुंगु वेट्टम)' को सभी कॉलर्स के लिए आपके कॉलर्ट्यून के रूप में सेट किया गया है। अपने दोस्तों Callertune को कॉपी करने के लिए *9 दबाएँ
ham,"आप हर जगह गंदगी, फर्श पर, खिड़कियां, यहां तक ​​कि मेरी शर्ट पर भी हैं। और कभी -कभी जब मैं अपना मुंह खोलता हूं, तो आप सब बाहर निकलते हैं। मैं तुम्हारे बिना अपनी दुनिया का सपना देखता हूं, फिर मेरे आधे काम भी बाहर हैं। मेरे लिए आनंद का समय, बहुत सारे टीवी शो I.ll देखें। लेकिन मुझे लगता है कि आप सभी चीजों की तरह हैं, जैसे कि बारिश, ओले और धुंध की तरह, और जब मेरा समय यहां हो जाता है, तो आप और मैं एक हो जाते हैं।"
ham,AAOOOORIGHT क्या आप काम पर हैं?
ham,मैं अब अपना घर छोड़ रहा हूं ...
ham,हैलो मेरी जान। आप क्या कर रहे हो? क्या आप आज उस साक्षात्कार में पहुंचे? क्या आप खुश हैं? क्या आप एक अच्छे लड़के हैं? क्या आप मेरे बारे में सोचते हैं? क्या आप मुझे याद कर रहे हैं?
spam,ग्राहक सेवा एनोन्समेंट। आपके पास एक नए साल की डिलीवरी है जो आपके लिए इंतजार कर रही है। कृपया डिलीवरी की व्यवस्था करने के लिए अब 07046744435 पर कॉल करें
spam,आप एक विजेता हैं यू विशेष रूप से चुने गए हैं 2 £ 1000 नकद प्राप्त करें या 4* अवकाश (उड़ानें इंक) एक लाइव ऑपरेटर से बात करें 2 दावा 087127781081010
ham,मेरे माता -पिता के लिए नई कार और घर ।:) मैं हाथ में केवल नई नौकरी है :)
ham,मैं तुमसे बहुत प्यार करता हूं। मैं हर दिन उत्साहित हूं कि मैं आपके साथ बिताता हूं। आप मुझे बहुत खुशी देते हैं।
spam,-प्ल्स स्टॉप बूटीडेलियस (32/एफ) आपको उसका दोस्त बनने के लिए आमंत्रित कर रहा है। उत्तर हां -434 या NO-434 उसे देखें: www.sms.ac/u/bootydelious STOP? 62468 पर STOP FRND भेजें
spam,"BANGBABES आपका आदेश रास्ते में है। U को एक सेवा msg 2 डाउनलोड उर सामग्री प्राप्त करनी चाहिए। यदि आप नहीं करते हैं, तो वैप पर जाएं। बैंगब। उर मोबाइल इंटरनेट/सेवा मेनू पर टीवी"
spam,अति आवश्यक! हम आपसे संपर्क करने की कोशिश कर रहे हैं। पिछले सप्ताहांत ड्रॉ से पता चलता है कि आपने एक £ 900 पुरस्कार की गारंटी दी है। 09061701939 पर कॉल करें। दावा कोड S89। केवल 12hrs मान्य
ham,ग्रेट एस्केप। मैं पुल की कल्पना करता हूं लेकिन उसके लेगर की जरूरत है। आप टोमो देखें
ham,हाँ :) यह पूरी तरह से बाहर रूप में :) क्लार्क भी बेकार है।
ham,"महोदय, मुझे एक्सिस बैंक खाता नंबर और बैंक पते की आवश्यकता है।"
